Club,Ball Speed (mph),Club Speed (mph),Launch Angle (deg),Spin Rate (rpm),Carry (yds),Total (yds),Club Path (deg),Face Angle (deg),Face to Path (deg),Spin Axis (deg),Side Distance (yds)
Driver,139.4,98.0,10.7,2882,213,228,-2.6,3.2,5.4,7.7,16
Driver,141.4,99.3,11.5,2982,249,267,-1.6,4.2,6.2,9.2,21
Driver,139.9,98.4,10.9,2910,223,239,-2.3,3.5,5.6,8.1,17
Driver,141.7,99.5,11.6,2998,255,273,-1.4,4.4,6.3,9.4,22
Driver,139.5,98.2,10.8,2890,216,231,-2.5,3.3,5.5,7.8,16
Driver,141.0,99.0,11.3,2962,242,259,-1.8,4.0,6.0,8.9,20
Driver,140.2,98.6,11.0,2926,229,245,-2.2,3.7,5.7,8.3,18
Driver,141.5,99.4,11.5,2990,252,270,-1.5,4.3,6.2,9.3,21
Driver,139.3,98.0,10.7,2878,212,227,-2.6,3.2,5.4,7.6,16
Driver,141.2,99.2,11.4,2974,246,264,-1.7,4.1,6.1,9.0,21
Driver,140.1,98.5,11.0,2918,226,242,-2.3,3.6,5.7,8.2,18
Driver,140.6,98.8,11.2,2946,236,253,-2.0,3.9,5.9,8.6,19
